Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2017-04-01,2-003,2-003,SUISUN-FAIRFIELD VALLEY,SUISUN-FAIRFIELD VALLEY,86.809549,91210
DISALEXI,2017-04-01,2-011,2-011,SUNOL VALLEY,SUNOL VALLEY,75.693237,1656
DISALEXI,2017-04-01,6-049,6-049,SUPERIOR VALLEY,SUPERIOR VALLEY,,0
DISALEXI,2017-04-01,6-001,6-001,SURPRISE VALLEY,SURPRISE VALLEY,63.389357,222562
DISALEXI,2017-04-01,6-107,6-107,SWEETWATER FLAT,SWEETWATER FLAT,38.330247,324
DISALEXI,2017-04-01,6-005.03,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE NORTH,,0
DISALEXI,2017-04-01,6-005.01,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE SOUTH,70.81893,486
DISALEXI,2017-04-01,6-005.02,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE WEST,,0
DISALEXI,2017-04-01,6-045,6-045,TEHACHAPI VALLEY EAST,TEHACHAPI VALLEY EAST,48.276126,3397
DISALEXI,2017-04-01,5-028,5-028,TEHACHAPI VALLEY WEST,TEHACHAPI VALLEY WEST,35.963656,4540
DISALEXI,2017-04-01,9-005,9-005,TEMECULA VALLEY,TEMECULA VALLEY,69.162987,20517
DISALEXI,2017-04-01,1-040,1-040,TEN MILE RIVER VALLEY,TEN MILE RIVER VALLEY,68.358696,92
DISALEXI,2017-04-01,7-026,7-026,TERWILLIGER VALLEY,TERWILLIGER VALLEY,52.366864,169
DISALEXI,2017-04-01,4-019,4-019,THOUSAND OAKS AREA,THOUSAND OAKS AREA,46.098701,385
DISALEXI,2017-04-01,4-015,4-015,TIERRA REJADA,TIERRA REJADA,49.882454,4092
DISALEXI,2017-04-01,5-037,5-037,TOAD WELL AREA,TOAD WELL AREA,,0
DISALEXI,2017-04-01,3-040,3-040,TORO VALLEY,TORO VALLEY,92.335135,370
DISALEXI,2017-04-01,6-098,6-098,TULEDAD CANYON VALLEY,TULEDAD CANYON VALLEY,56.912903,310
DISALEXI,2017-04-01,7-010,7-010,TWENTYNINE PALMS VALLEY,TWENTYNINE PALMS VALLEY,73.776439,747
DISALEXI,2017-04-01,1-052,1-052,UKIAH VALLEY,UKIAH VALLEY,76.497033,43476
DISALEXI,2017-04-01,6-022,6-022,UPPER KINGSTON VALLEY,UPPER KINGSTON VALLEY,,0
