Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2011-04-01,6-002,6-002,MADELINE PLAINS,MADELINE PLAINS,17.553575,697664
SSEBOP,2011-04-01,3-051,3-051,MAJORS CREEK,MAJORS CREEK,52.614336,1688
SSEBOP,2011-04-01,4-022,4-022,MALIBU VALLEY,MALIBU VALLEY,61.959662,2603
SSEBOP,2011-04-01,6-064,6-064,MARBLE CANYON AREA,MARBLE CANYON AREA,6.313712,46600
SSEBOP,2011-04-01,2-039,2-039,MARINA,MARINA,37.232068,9773
SSEBOP,2011-04-01,6-067,6-067,MARTIS VALLEY,MARTIS VALLEY,32.13362,86656
SSEBOP,2011-04-01,7-059,7-059,MASON VALLEY,MASON VALLEY,40.764388,24829
SSEBOP,2011-04-01,1-028,1-028,MATTOLE RIVER VALLEY,MATTOLE RIVER VALLEY,74.108033,13968
SSEBOP,2011-04-01,5-035,5-035,MCCLOUD AREA,MCCLOUD AREA,47.336774,75092
SSEBOP,2011-04-01,5-095,5-095,MEADOW VALLEY,MEADOW VALLEY,54.273027,25437
SSEBOP,2011-04-01,7-017,7-017,MEANS VALLEY,MEANS VALLEY,4.12009,67158
SSEBOP,2011-04-01,6-029,6-029,MESQUITE VALLEY,MESQUITE VALLEY,16.461655,384627
SSEBOP,2011-04-01,6-020,6-020,MIDDLE AMARGOSA VALLEY,MIDDLE AMARGOSA VALLEY,8.255046,1740489
SSEBOP,2011-04-01,5-094,5-094,MIDDLE CREEK,MIDDLE CREEK,53.68368,3174
SSEBOP,2011-04-01,5-087,5-087,MIDDLE FORK FEATHER RIVER,MIDDLE FORK FEATHER RIVER,43.468005,19331
SSEBOP,2011-04-01,6-041,6-041,MIDDLE MOJAVE RIVER VALLEY,MIDDLE MOJAVE RIVER VALLEY,22.114879,950207
SSEBOP,2011-04-01,6-080,6-080,MIDDLE PARK CANYON,MIDDLE PARK CANYON,25.080822,7832
SSEBOP,2011-04-01,5-085,5-085,MIL POTRERO AREA,MIL POTRERO AREA,54.337572,10380
SSEBOP,2011-04-01,9-014,9-014,MISSION VALLEY,MISSION VALLEY,30.874118,31744
SSEBOP,2011-04-01,5-011,5-011,MOHAWK VALLEY,MOHAWK VALLEY,51.971425,78215
SSEBOP,2011-04-01,6-009,6-009,MONO VALLEY,MONO VALLEY,35.116354,771294
SSEBOP,2011-04-01,3-049,3-049,MONTECITO,MONTECITO,82.299813,27307
SSEBOP,2011-04-01,7-020,7-020,MORONGO VALLEY,MORONGO VALLEY,28.13971,32496
SSEBOP,2011-04-01,3-041,3-041,MORRO VALLEY,MORRO VALLEY,62.6344,2500
SSEBOP,2011-04-01,5-008,5-008,MOUNTAIN MEADOWS VALLEY,MOUNTAIN MEADOWS VALLEY,46.682916,28207
SSEBOP,2011-04-01,1-056,1-056,McDOWELL VALLEY,McDOWELL VALLEY,72.433672,6694
SSEBOP,2011-04-01,2-002.01,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA VALLEY,51.888803,206535
SSEBOP,2011-04-01,2-002.03,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - NAPA-SONOMA LOWLANDS,73.811143,181195
SSEBOP,2011-04-01,2-002.02,2-002,NAPA-SONOMA VALLEY,NAPA-SONOMA VALLEY - SONOMA VALLEY,69.913521,201644
SSEBOP,2011-04-01,1-046,1-046,NAVARRO RIVER VALLEY,NAVARRO RIVER VALLEY,94.77674,3104
SSEBOP,2011-04-01,3-052,3-052,NEEDLE ROCK POINT,NEEDLE ROCK POINT,46.501635,3058
SSEBOP,2011-04-01,7-044,7-044,NEEDLES VALLEY,NEEDLES VALLEY,10.814793,384797
