Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2008-03-01,6-105,6-105,SLINKARD VALLEY,SLINKARD VALLEY,,0
SIMS,2008-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,86.361995,35390
SIMS,2008-03-01,6-033,6-033,SODA LAKE VALLEY,SODA LAKE VALLEY,,0
SIMS,2008-03-01,2-037,2-037,SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,,0
SIMS,2008-03-01,6-082,6-082,SPRING CANYON VALLEY,SPRING CANYON VALLEY,,0
SIMS,2008-03-01,5-089,5-089,SQUAW FLAT,SQUAW FLAT,,0
SIMS,2008-03-01,5-088,5-088,STONY GORGE RESERVOIR,STONY GORGE RESERVOIR,71.96831,852
SIMS,2008-03-01,5-063,5-063,STONYFORD TOWN AREA,STONYFORD TOWN AREA,70.984536,3686
SIMS,2008-03-01,2-003,2-003,SUISUN-FAIRFIELD VALLEY,SUISUN-FAIRFIELD VALLEY,79.008154,83760
SIMS,2008-03-01,2-011,2-011,SUNOL VALLEY,SUNOL VALLEY,65.914219,851
SIMS,2008-03-01,6-049,6-049,SUPERIOR VALLEY,SUPERIOR VALLEY,,0
SIMS,2008-03-01,6-001,6-001,SURPRISE VALLEY,SURPRISE VALLEY,41.018729,207590
SIMS,2008-03-01,6-107,6-107,SWEETWATER FLAT,SWEETWATER FLAT,5.970149,67
SIMS,2008-03-01,6-005.03,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE NORTH,,0
SIMS,2008-03-01,6-005.01,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE SOUTH,21.083333,24
SIMS,2008-03-01,6-005.02,6-005,TAHOE VALLEY,TAHOE VALLEY - TAHOE WEST,,0
SIMS,2008-03-01,6-045,6-045,TEHACHAPI VALLEY EAST,TEHACHAPI VALLEY EAST,20.317907,2312
SIMS,2008-03-01,5-028,5-028,TEHACHAPI VALLEY WEST,TEHACHAPI VALLEY WEST,21.143566,3629
